Attribute Label,dcdtr:representation,Property Label,dcdtr:meaning
Above Below Water Table,class/attribute/abovebelowwatertable,Hydrologic Setting,def/property/hydrologic-setting
Access Constraint,class/attribute/accessconstraint,Resource Use Restriction,def/property/resource-use-restriction
Additional Sources,class/attribute/additionalsources,Provenance,def/property/provenance
Age Assignment Basis,class/attribute/ageassignmentbasis,Provenance,def/property/provenance
Age Source,class/attribute/agesource,Provenance,def/property/provenance
Age Uncertainty Ma,class/attribute/ageuncertainty-ma,Uncertainty,def/property/uncertainty
Aggregation Type,class/attribute/aggregationtype,Procedure Type,def/property/procedure-type
Analysis Date,class/attribute/analysisdate,Observation History,def/property/observation-history
Analysis Date Time,class/attribute/analysisdatetime,Observation History,def/property/observation-history
Analysis Name,class/attribute/analysisname,Observation Name,def/property/observation-name
Analysis Type,class/attribute/analysistype,Observation Type,def/property/observation-type
Analysis URI,class/attribute/analysisuri,Observation Identifier,def/property/observation-identifier
Analyte,class/attribute/analyte,Constituent Type,def/property/constituent-type
Analytical Procedure,class/attribute/analyticalprocedure,Observation Procedure,def/property/observation-procedure
API No,class/attribute/apino,Feature Identifier,def/property/feature-identifier
Area m2,class/attribute/area-m2,Extent,def/property/extent
Average Depth Reservoir,class/attribute/averagedepthreservoir,Vertical Position,def/property/vertical-position
Average Field Wide Gradient degCm,class/attribute/averagefieldwidegradient-degcm,Temperature Gradient,def/property/temperature-gradient
Average Field Wide Pressure Mpa,class/attribute/averagefieldwidepressure-mpa,Fluid Flux,def/property/fluid-pressure
Average Monthly Water Production bbl,class/attribute/averagemonthlywaterproduction-bbl,Fluid Flux,def/property/fluid-flux
Average Net Target Rock Thickness m,class/attribute/averagenettargetrockthickness-m,Extent,def/property/extent
Average Net Target Rock Thickness Methodology,class/attribute/averagenettargetrockthicknessmethodology,Observation Procedure,def/property/observation-procedure
Average Net Target Rock Thickness Uncertainty,class/attribute/averagenettargetrockthicknessuncertainty,Uncertainty,def/property/uncertainty
Average Perforated Thickness m,class/attribute/averageperforatedthickness-m,Extent,def/property/extent
Average Price cents per kilowatt-hour.,class/attribute/averageprice-c-kw-h,Price,def/property/price
Average Reservoir Depth m,class/attribute/averagereservoirdepth-m,Vertical Position,def/property/vertical-position
Average Reservoir Depth Methodology,class/attribute/averagereservoirdepthmethodology,Observation Procedure,def/property/observation-procedure
Average Reservoir Depth Uncertainty,class/attribute/averagereservoirdepthuncertainty,Uncertainty,def/property/uncertainty
Average Surface Temperature degC,class/attribute/averagesurfacetemperature-degc,Temperature,def/property/temperature
Average SurfaceTemperature Source,class/attribute/averagesurfacetemperaturesource,Provenance,def/property/provenance
Average Temperature Geofluid,class/attribute/averagetemperaturegeofluid,Temperature,def/property/temperature
Average Thermal Conductivity,class/attribute/averagethermalconductivity,Thermal Conductivity,def/property/thermal-conductivity
Average Thickness Mine Deposit m,class/attribute/avethicknessminedeposit-m,Extent,def/property/extent
Average Volumetric Groundwater Recharge Rate  m^3/yr,class/attribute/averechargerategrndwtrvol-m3yr,Fluid Flux,def/property/fluid-flux
Base Station Name,class/attribute/basestationname,Feature Name,def/property/feature-name
BHT,class/attribute/bht,Temperature,def/property/temperature
BHT Corrected Value,class/attribute/bhtcorrectedvalue,Temperature,def/property/temperature
BHT Correction Type,class/attribute/bhtcorrectiontype,Procedure Type,def/property/procedure-type
Bit Diameter at Collar,class/attribute/bitdiametercollar,Feature Extent,def/property/feature-extent
Bit Diameter at TD,class/attribute/bitdiametertd,Feature Extent,def/property/feature-extent
Block Volume m3,class/attribute/blockvolume-m3,Volume,def/property/volume
Borehole Intercept URI,class/attribute/bhintercepturi,Feature Identifier,def/property/feature-identifier
Borehole Interval URI,class/attribute/bhintervaluri,Feature Identifier,def/property/feature-identifier
Borehole Name,class/attribute/boreholename,Feature Name,def/property/feature-name
Bottom Logged Interval ft,class/attribute/bottomloggedinterval-ft,Coverage Domain Bound,def/property/coverage-domain-bound
Bouguer Correction mgal,class/attribute/bouguercorrection-mgal,Gravity Observation Correction,def/property/gravity-observation-correction
Bulk Mixing Formula,class/attribute/bulkmixingformula,Procedure Type,def/property/procedure-type
Capacity MW,class/attribute/capacity-mw,Power Production Capacity,def/property/power-production-capacity
Capacity Procedure,class/attribute/capacityprocedure,Observation Procedure,def/property/observation-procedure
Capacity Units,class/attribute/capacityunits,Unit of Measure,def/property/unit-of-measure
Casing Bottom Depth Driller,class/attribute/casingbottomdepthdriller,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Depth ft,class/attribute/casingdepth-ft,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Diameter in,class/attribute/casingdiameter-in,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Logger,class/attribute/casinglogger,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Pipe Diameter,class/attribute/casingpipediameter,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Thickness,class/attribute/casingthickness,Borehole Casing Thickness,def/property/borehole-casing-thickness
Casing Top Depth,class/attribute/casingtopdepth,Borehole Casing Extent,def/property/borehole-casing-extent
Casing Type,class/attribute/casingtype,Material Type,def/property/material-type
Casing Weight,class/attribute/casingweight,Borehole Casing Weight,def/property/borehole-casing-weight
Casing Weight Units,class/attribute/casingweightunits,Borehole Casing Weight UOM,def/property/borehole-casing-weight-uom
Catalog Source Code,class/attribute/catalogsourcecode,Provenance,def/property/provenance
Cementation factor,class/attribute/cementationfactor,Cementation factor,def/property/cementation-factor
Cementation Mineralogy,class/attribute/cementationmineralogy,Sedimentary Rock Cement,def/property/sedimentary-rock-cement
Circulation Duration,class/attribute/circulationduration,Duration,def/property/duration
Citation,class/attribute/citation,Provenance,def/property/provenance
Classification,class/attribute/classification,Fluid Flux,def/property/fluid-flux
Collection Activity Name,class/attribute/collectionactivityname,Event Name,def/property/event-name
Collection Activity URI,class/attribute/collectionactivityuri,Feature Identifier,def/property/feature-identifier
Collection Method,class/attribute/collectionmethod,Procedure Name,def/property/procedure-name
Collection Purpose,class/attribute/collectionpurpose,Purpose,def/property/purpose
Commodity Of Interest,class/attribute/commodityofinterest,Substance of Interest,def/property/substance-of-interest
Complete Bouguer Value mgal,class/attribute/completebouguervalue-mgal,Acceleration of gravity,def/property/acceleration-of-gravity
Conductivity Measured URI,class/attribute/conductivitymeasureduri,Observation Identifier,def/property/observation-identifier
Conductivity Num Samples,class/attribute/conductivitynumsamples,Measurement Count,def/property/measurement-count
Conductivity Sample Type,class/attribute/conductivitysampletype,Sample Type,def/property/sample-type
Contact Email Address,class/attribute/contactemailaddress,E-Mail Address,def/property/e-mail-address
Contact Information Text,class/attribute/contact,Contact Information,def/property/contact-information
Contact Interval Bottom,class/attribute/contactintervalbottom,Vertical Position,def/property/vertical-position
Contact Interval Top,class/attribute/contactintervaltop,Vertical Position,def/property/vertical-position
Contact Name,class/attribute/contactname,Contact Information,def/property/contact-information
Contact Phone,class/attribute/contactphone,Telephone Number,def/property/telephone-number
contour Type uri,class/attribute/contourtype-uri,Feature Type,def/property/feature-type
contour URI,class/attribute/contoururi,Contour Identifier,def/property/contour-identifier
contour Value,class/attribute/contourvalue,Value,def/property/value
contourType,class/attribute/contourtype,Variable Type,def/property/variable-type
Corrected Temperature,class/attribute/correctedtemperature,Temperature,def/property/temperature
Correction Description,class/attribute/correctiondescription,Procedure Description,def/property/procedure-description
Correction TC,class/attribute/correctiontc,Thermal Conductivity Correction,def/property/thermal-conductivity-correction
Correction Type,class/attribute/correctiontype,Procedure Type,def/property/procedure-type
County,class/attribute/county,Location Name,def/property/location-name
Cross Section Area m2,class/attribute/crosssectionarea-m2,Recharge Extent,def/property/recharge-extent
Cross Section Area Procedure,class/attribute/crosssectionareaprocedure,Procedure Description,def/property/procedure-description
Curator URI,class/attribute/curatoruri,Agent Identifier,def/property/agent-identifier
Current Curation Location,class/attribute/currentcurationlocation,Curation Location,def/property/curation-location
Data Entry Source,class/attribute/dataentrysource,Provenance,def/property/provenance
Date Collected,class/attribute/datecollected,Resource History,def/property/resource-history
Date Installed,class/attribute/dateinstalled,Resource History,def/property/resource-history
Date Most Recent Event,class/attribute/datemostrecentevent,Feature History,def/property/feature-history
Date Time Log Run,class/attribute/datetimelogrun,Resource History,def/property/resource-history
Datum Elevation,class/attribute/datumelevation,Vertical Datum,def/property/vertical-datum
Datum Elevation meters,class/attribute/datumelevation-m,Vertical Datum,def/property/vertical-datum
Density,class/attribute/density,Density,def/property/density
Depth,class/attribute/depth,Feature Extent,def/property/feature-extent
Depth Bottom Interval,class/attribute/depthbottominterval,Vertical Position,def/property/vertical-position
Depth Bottom Interval ft,class/attribute/depthbottominterval-ft,Coverage Domain Bound,def/property/coverage-domain-bound
Depth Bottom Open Zone,class/attribute/depthbottomopenzone,Vertical Position,def/property/vertical-position
Depth Determination Method,class/attribute/depthdeterminationmethod,Observation Procedure,def/property/observation-procedure
Depth ft,class/attribute/depth-ft,Feature Extent,def/property/feature-extent
Depth Of Measurement,class/attribute/depthofmeasurement,Vertical Position,def/property/vertical-position
Depth Of Mine km,class/attribute/depthofmine-km,Feature Extent,def/property/feature-extent
Depth Reference Point,class/attribute/depthreferencepoint,Datum Type,def/property/datum-type
Depth To Bottom m,class/attribute/depthtobottom-m,Vertical Position,def/property/vertical-position
Depth To Top m,class/attribute/depthtotop-m,Vertical Position,def/property/vertical-position
