URI,skos:prefLabel,dct:description,dc:source,dcdtr:ParentURI,skos:inScheme
def/logic-type/table,table,"a data object that is a relation, a tuple consisting of a list of primitive values, with a record type defining the data type and semantics for each 'column' (position) in the tuple. ",This model,,logic-type
def/logic-type/data-object,data object,representation as a set of key-value pairs where the values might have any data type,This model,,logic-type
def/aggregation-type/median,median,,This model,,aggregation-type
def/aggregation-type/mean,mean,,This model,,aggregation-type
def/aggregation-type/geometric-mean,geometric mean,,This model,,aggregation-type
def/aggregation-type/mode,mode,,This model,,aggregation-type
def/aggregation-type/common-value,common value,"no formal statistics, an emprical assertion of a typical or expected value",This model,,aggregation-type
def/aggregation-type/primitive,primitive,single atomic value,This model,,aggregation-type
def/value-type/date-range,date range,,This model,,value-type
def/value-type/controlled-vocabulary,controlled vocabulary,,This model,,value-type
def/primitive-type/date-time,Date time,A time position specified using date and time from the modern Gregorian Calendar,,,primitive-type
def/primitive-type/integer,integer,a number that can be written without a fractional component.,https://en.wikipedia.org/wiki/Integer,,primitive-type
def/primitive-type/long-integer,long integer,Computer representation of an integer whose range is greater than or equal to that of a standard integer in the same computation environment.,,,primitive-type
def/primitive-type/point-object,point object,a location with no spatial extent specified in some spatial reference system. ,,,primitive-type
def/primitive-type/real-number,real number,"Real numbers can be thought of as points on an infinitely long line; a superset of the rational numbers, which include integers, which include natural numbers. Not countable--between any two real numbers there are other real numbers. Any real number can be determined by a possibly infinite decimal representation.",Based on https://en.wikipedia.org/wiki/Real_number,,primitive-type
def/primitive-type/string,string,A sequence of characters. ,https://en.wikipedia.org/wiki/String_(computer_science),,primitive-type
def/primitive-type/term,term,A member of a controlled vocabulary; may be identified by a label or an indentifier string,This model,,primitive-type
def/primitive-type/uri,URI,an indentifier string conforming to syntax defined by RFC-3986,IETF RFC-3986,,primitive-type
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
