URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/abovebelowwatertable,AboveBelowWaterTable,Above Below Water Table,"Used to designate if mine above water table, below water table, or above and below water table. ",,,def/primitive-type/string,class/value-domain/controlled-vocabulary,,
class/attribute/accessconstraint,AccessConstraint,Access Constraint,"Text specification of constraints on access to this sample description. Might include a date when information becomes public, and term like {public, private, sandbox} for use by sample catalog system.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/additionalsources,AdditionalSources,Additional Sources,"For more than one publication, list older references here. List data sources for other parameters, e. g., conductivity, climate data, surface temperature, cross-sections, etc; text description of observation lineage / provenance.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/ageassignmentbasis,AgeAssignmentBasis,Age Assignment Basis,Source of age dating: method or reference.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/agesource,AgeSource,Age Source,"Source of the age dating. Short text explanation of source of information defining feature; may be author-date type citation, but should include some indication of how digital data originated. If unpublished data, provide researcher name, date and research institution for proper citation. Separate multiple citations with pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/ageuncertainty-ma,AgeUncertainty_Ma,Age Uncertainty Ma,"For material without related laboratory age determination, provide an uncertainty statement. Uncertainty of age readings in millions of years.",,,def/primitive-type/real-number,class/value-domain/decimal-number,def/units-of-measure/millions-of-years,
class/attribute/aggregationtype,AggregationType,Aggregation Type,"Term that specifies the method for recording the interval for temperature and pressure, e.g. minimum, maximum, average, spot.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/analysisdate,AnalysisDate,Analysis Date,"Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/analysisdatetime,AnalysisDateTime,Analysis Date Time,"Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/analysisname,AnalysisName,Analysis Name,"Other human-intelligible labels for analysis such as secondary name or common name, other spellings. Indicate the authority from which the OtherName is derived with a short (lower case) prefix delimited by a colon  :  If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character  | . For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata. (If there are multiple analyses performed on a single sample, each analysis would correspond to a new line of data in the template.) May be a concatenation of analysis type, feature name, and specimen label. This element is specific, not generic; i.e., do not use generic terms such as -Analyte Analysis-.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/analysistype,AnalysisType,Analysis Type,Type of analysis used to obtain the results in this record.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/analysisuri,AnalysisURI,Analysis URI,A unique identifier for a discrete analysis of a specimen taken from a feature. The feature from which the specimen was taken will be identified by its own URI.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/analyte,analyte,Analyte,an individual constituent measured as part of a chemical analysis,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/analyticalprocedure,AnalyticalProcedure,Analytical Procedure,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/apino,APINo,API No,"API number for the the wellbore/borehole identified by the HeaderURI. If an API number is unavailable this field is empty. Usage of hyphens is optional, according to standard practice in each state. API number refers to the American Petroleum Institute number. Each oil, gas, or geothermal well drilled in the United States has a unique API number; this number identifies all boreholes or recompletions associated with the original wellbore. See http://www.spwla.org/technical/api-technical for more information about API numbering.",,,def/primitive-type/string,,,
class/attribute/area-m2,Area_m2,Area m2,the surface area subtended by an object viewed from a particular orientation.,,,def/primitive-type/real-number,class/value-domain/decimal-number,,
class/attribute/averagedepthreservoir,AverageDepthReservoir,Average Depth Reservoir,"The average depth to the reservoir, given in units of m (meters).",,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/averagefieldwidegradient-degcm,AverageFieldWideGradient_degCm,Average Field Wide Gradient degCm,Using corrected BHTs from wells in within the field. Degrees Celsius per meter.  Note that the average surface temperature and source for the average surface temperature are requested if this has been provided.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/averagefieldwidepressure-mpa,AverageFieldWidePressure_Mpa,Average Field Wide Pressure Mpa,"Corrected pressure, use standardized drawdown curve to approximate contemporary reservoir pressure values. In megapascals.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/averagemonthlywaterproduction-bbl,AverageMonthlyWaterProduction_bbl,Average Monthly Water Production bbl,Average monthly water production for every well in the field.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/averagenettargetrockthickness-m,AverageNetTargetRockThickness_m,Average Net Target Rock Thickness m,Average net target rock thickness within the reservoir/fairway boundaries identified as calculated from well log interpretation. Describe method and uncertainty in appropriate fields. ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
