URI,skos:prefLabel,dct:description,dc:source,dcdtr:unitsType
def/units-of-measure/darcy,darcy,,,
def/units-of-measure/degree,degree,angular part of a circle,,http://vocabulary.odm2.org/unitstype/angle
def/units-of-measure/degree-celsius,degree Celsius,,,http://vocabulary.odm2.org/unitstype/temperature
def/units-of-measure/feet,feet,,,http://vocabulary.odm2.org/unitstype/length
def/units-of-measure/feet-per-day,feet per day,,,http://vocabulary.odm2.org/unitstype/linearvelocity
def/units-of-measure/gallons-per-minute,gallons per minute,,,http://vocabulary.odm2.org/unitstype/volumetricflowrate
def/units-of-measure/kilogram,kilogram,,,http://vocabulary.odm2.org/unitstype/mass
def/units-of-measure/kilogram-per-cubic-meter,Kilogram per cubic meter,,,http://vocabulary.odm2.org/unitstype/concentrationordensitymasspervolume
def/units-of-measure/kilometer,kilometer,,,http://vocabulary.odm2.org/unitstype/length
def/units-of-measure/megawatt,megaWatt,,,http://vocabulary.odm2.org/unitstype/power
def/units-of-measure/meter,meter,,,http://vocabulary.odm2.org/unitstype/length
def/units-of-measure/meters-per-sec,meters per sec,,,http://vocabulary.odm2.org/unitstype/linearvelocity
def/units-of-measure/millidarcy,millidarcy,millidarcy (md) (1 darcy is 10^?12m^2); unit of measure for permeability. Dimension type is length^2,,
def/units-of-measure/percent,percent,,,
def/units-of-measure/millions-of-years,millions of years,,,
