identifier,localName,description,cardinality,nilable,sequence,implementationCodelistURI,implementedDataTypeURI,UnitOfMeasure,,
/implementation-element/objectid,OBJECTID,"Integer record count, added by ArcGIS servers during service deployment; not required but cannot be removed when deploying from ArcGIS feature class. Not user maintained, so this element appears in XML implementation but not in the Content Model Template.",1,,,,,,,PlantProductionStatURI
/implementation-element/facilityuri,FacilityURI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",1,,,,,,,PlantProductionStatLabel
/implementation-element/plantname,PlantName,Common or human-readable name by which the feature  is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,1,,,,,,,PowerPlantFacilityURI
/implementation-element/planttype,PlantType,"Dry Steam; Flash Steam; Binary Cycle; Single Flash; Double Flash. If Unknown or missing place ""nil:missing""",1,,,,,,,PlantName
/implementation-element/otherid,OtherID,"Alternative identifier(s) for the feature. 'Indicate the authority from which the OtherID is derived with a short (lower case) prefix delimited by a colon ':' If identifiers from multiple different authorities are available, delimit these identifiers with the pipe '|' character. For example, if a well were known to the Arizona Geological Survey (AZGS) by the id number 1337, the prefix would be azgs: and the identifier string would be azgs:1337. Any such prefixes used to scope identifiers should be explained in the dataset metadata.",0..1,,,,,,,OtherID
/implementation-element/label,Label,"Short text string for labeling the feature on maps. Can be the same as feature name. A label may be an OtherLocationName, OtherID or the Name or some combination.",1,,,,,,,Notes
/implementation-element/owner,Owner,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe '|' character.",1,,,,,,,PlantType
/implementation-element/operator,Operator,"Companies, individuals, or other entities who operate the property. Separate multiple with a pipe '|' character.",0..1,,,,,,,YearCommissioned
/implementation-element/operationaldate,OperationalDate,"Date for the record (year in which the first power plant at the site began operation). Day, month and year must be specified; Excel will display using ISO 8601 date and time (yyyy-mm-ddT:hh:mm) format. If only the year is known, enter month and day as 'Jan. 1', (or '1/1/', or '1-1-', or 'January 1,'). All dates will be converted to yyyy-mm-ddThh:mm.",1,,,,,,,UTM_E
/implementation-element/status,Status,"Status of the feature at the time indicated in the StatusDate element. If unknown enter ""unknown"" in the field.",1,,,,,,,UTM_N
/implementation-element/statusdate,StatusDate,"The status of the feature can change from time to time, thus it is useful to know the date on which a given status was reported. Day, month and year must be specified; Excel will display using ISO 8601 date and time (yyyy-mm-ddT:hh:mm) format. If only the year is known, enter month and day as 'Jan. 1', (or '1/1/', or '1-1-', or 'January 1,'). All dates will be converted to yyyy-mm-ddThh:mm.",0..1,,,,,,,UTMDatumZone
/implementation-element/plss-meridians,PLSS_Meridians,List north-south baseline and east-west meridian that Townships and Ranges are referenced to.,0..1,,,,,,,PostalAddress
/implementation-element/township,Township,"Township in PLSS grid, relative to reported baseline. Formatting and punctuation should be consistent for all locations referenced to the same baseline and meridian. Recommend adding leading '0's so that all number strings are the same length (typically 2 or occasionally 3 digits). Examples 01N, 112S, 001 N.",0..1,,,,,,,County
/implementation-element/range,Range,"Range in PLSS grid, relative to reported meridian. Formatting and punctuation should be consistent for all locations referenced to the same baseline meridian. See instructions on TWP field.",0..1,,,,,,,State
/implementation-element/section-,Section_,"PLSS section number. Must be numeric or null. Some surveys include half sections indicated by a 'nn.5' designation, where n indicates a number.",0..1,,,,,,,LatDegree
/implementation-element/sectionpart,SectionPart,Subdivision of a PLSS section.,0..1,,,,,,,LongDegree
/implementation-element/utm-e,UTM_E,UTM easting coordinate as decimal number.,0..1,,,,,,,SRS
/implementation-element/utm-n,UTM_N,UTM northing coordinate as decimal number.,0..1,,,,,,,LocationUncertaintyStatement
/implementation-element/utmdatumzone,UTMDatumZone,The datum and UTM zone for the reported coordinates. Datum for most locations should be NAD27 or NAD83.,0..1,,,,,,,ReportingPeriod
/implementation-element/county,County,"Required. County name. If unknown or not applicable use 'missing'. If offshore, specify 'offshore' in this field.",1,,,,,,,StartReportInterval
/implementation-element/state,State,"Required. State name without abbreviations. If unknown or not applicable use 'missing'. For offshore locations, specify the governing or nearest state and list the county as 'offshore'.",1,,,,,,,EndReportInterval
/implementation-element/latdegree,LatDegree,"Latitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",1,,,,,,,ReportYear
/implementation-element/longdegree,LongDegree,"Longitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",1,,,,,,,Capacity_MW
/implementation-element/srs,SRS,"The spatial reference system. It is recommended that an EPSG code be used to identify the SRS used to specify the location.  If an EPSG code is used, identify it as such with the prefix 'EPSG:' For common EPSG codes, see the Data Valid Terms tab. EPSG:4326 is the identifier for WGS84, and should be the text in this field. EPSG stands for European Petroleum Survey Group. EPSSG codes can be dereferenced by putting the code in this URL (replace 4326) http://spatialreference.org/ref/epsg/4326/.",1,,,,,,,GrossProduction_MWhr
/implementation-element/locationuncertaintystatement,LocationUncertaintyStatement,"Information on how the original location was determined, e.g.: 1:250,000 map, gps unit, Google Earth, PLSS Conversion, Spatial Datum Conversion, e.g., NAD27 to WGS84.",1,,,,,,,NetProduction_MWhr
/implementation-element/locationuncertaintycode,LocationUncertaintyCode,"A controlled vocabulary term or code value specifying the location confidence, E.g. 1 = reported, 2= surveyed, 3= GPS. If such a code list or vocabulary is used, it must be added to the 'Data Valid Terms' sheet to enumerate the possible values and their meaning.",0..1,,,,,,,AveragePrice_c_kW-h
/implementation-element/locationuncertaintyradius,LocationUncertaintyRadius,"Radius (in meters) of circle of confidence for location. Ideally might represent some specific confidence criteria like 'radius of circle around reported location which which true location lies with 95% confidence', but such precision is rarely available.",0..1,,,,,,,RelatedResource
/implementation-element/locationkeyword,LocationKeyword,"Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. If identifiers from multiple different authorities are available, delimit these identifiers with the pipe character '|'.",0..1,,,,,,,MetadataURI
/implementation-element/notes,Notes,"Any additional information to be provided, including description and other data not captured by the template, details about collection method, contact information for related parties (original collector, project PI), collection platform or Launch, etc.",1,,,,,,,UpdateTimeStamp
/implementation-element/useapplication,UseApplication,Statement for how heat is being used. Should come from controlled vocabulary.,1,,,,,,,
/implementation-element/capacity-mw,Capacity_MW,Production capacity of the power plant in MW. Included as a search parameter.,1,,,,,,,
